1,2,3,4,5,2,3
S. no.,Content ID,Category,Content Type,Datetime,Sentiment,Score
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,disgust,07-11-2020 09:43,negative,0
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,dislike,17-06-2021 12:22,negative,10
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,scared,18-04-2021 05:13,negative,15
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,disgust,06-01-2021 19:13,negative,0
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,interested,23-08-2020 12:25,positive,30
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,peeking,07-12-2020 06:27,neutral,35
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,cherish,11-04-2021 17:35,positive,70
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,hate,27-01-2021 08:32,negative,5
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,peeking,01-04-2021 22:54,neutral,35
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,indifferent,07-11-2020 08:36,neutral,20
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,scared,02-11-2020 06:28,negative,15
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,interested,01-11-2020 01:16,positive,30
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,hate,07-10-2020 18:39,negative,5
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,scared,03-09-2020 18:51,negative,15
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,super love,24-02-2021 05:09,positive,75
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,peeking,23-09-2020 06:24,neutral,35
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,indifferent,24-02-2021 11:37,neutral,20
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,interested,22-05-2021 19:44,positive,30
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,peeking,20-11-2020 17:26,neutral,35
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,worried,11-04-2021 20:47,negative,12
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,like,13-06-2021 16:46,positive,50
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,heart,11-04-2021 14:29,positive,60
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,worried,02-03-2021 19:21,negative,12
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,hate,27-06-2020 18:44,negative,5
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,hate,09-05-2021 21:05,negative,5
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,cherish,04-08-2020 23:58,positive,70
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,super love,28-08-2020 03:57,positive,75
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,scared,20-04-2021 23:48,negative,15
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,interested,07-03-2021 12:40,positive,30
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,indifferent,24-05-2021 03:21,neutral,20
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,super love,24-01-2021 11:03,positive,75
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,disgust,09-04-2021 02:46,negative,0
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,super love,02-02-2021 03:43,positive,75
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,interested,04-02-2021 03:06,positive,30
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,dislike,09-11-2020 02:49,negative,10
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,scared,29-09-2020 16:00,negative,15
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,want,13-02-2021 07:54,positive,70
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,interested,14-07-2020 05:28,positive,30
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,indifferent,23-08-2020 10:30,neutral,20
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,worried,10-05-2021 09:27,negative,12
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,hate,15-03-2021 03:59,negative,5
42,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,dislike,25-06-2020 17:01,negative,10
43,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,intrigued,13-09-2020 00:11,positive,45
44,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,peeking,20-08-2020 18:17,neutral,35
45,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,scared,11-02-2021 04:53,negative,15
46,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,hate,08-03-2021 10:40,negative,5
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,disgust,28-03-2021 21:15,negative,0
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,hate,25-05-2021 01:00,negative,5
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,like,15-03-2021 12:17,positive,50
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,love,05-05-2021 16:26,positive,65
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,heart,16-06-2021 03:02,positive,60
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,indifferent,07-07-2020 10:52,neutral,20
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,peeking,20-08-2020 07:59,neutral,35
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,love,23-09-2020 11:15,positive,65
